"year","quarter","realgdp","realcons","unemp"
1959,1,2710.349,1707.4,5.8
1959,2,2778.801,1733.7,5.1
1959,3,2775.488,1751.8,5.3
1959,4,2785.204,1753.7,5.6
1960,1,2847.699,1770.5,5.2
1960,2,2834.39,1792.9,5.2
1960,3,2839.022,1785.8,5.6
1960,4,2802.616,1788.2,6.3
1961,1,2819.264,1787.7,6.8
1961,2,2872.005,1814.3,7
1961,3,2918.419,1823.1,6.8
1961,4,2977.83,1859.6,6.2
1962,1,3031.241,1879.4,5.6
1962,2,3064.709,1902.5,5.5
1962,3,3093.047,1917.9,5.6
1962,4,3100.563,1945.1,5.5
1963,1,3141.087,1958.2,5.8
1963,2,3180.447,1976.9,5.7
1963,3,3240.332,2003.8,5.5
1963,4,3264.967,2020.6,5.6
1964,1,3338.246,2060.5,5.5
1964,2,3376.587,2096.7,5.2
1964,3,3422.469,2135.2,5
1964,4,3431.957,2141.2,5
1965,1,3516.251,2188.8,4.9
1965,2,3563.96,2213,4.7
1965,3,3636.285,2251,4.4
1965,4,3724.014,2314.3,4.1
1966,1,3815.423,2348.5,3.9
1966,2,3828.124,2354.5,3.8
1966,3,3853.301,2381.5,3.8
1966,4,3884.52,2391.4,3.7
1967,1,3918.74,2405.3,3.8
1967,2,3919.556,2438.1,3.8
1967,3,3950.826,2450.6,3.8
1967,4,3980.97,2465.7,3.9
1968,1,4063.013,2524.6,3.7
1968,2,4131.998,2563.3,3.5
1968,3,4160.267,2611.5,3.5
1968,4,4178.293,2623.5,3.4
1969,1,4244.1,2652.9,3.4
1969,2,4256.46,2669.8,3.4
1969,3,4283.378,2682.7,3.6
1969,4,4263.261,2704.1,3.6
1970,1,4256.573,2720.7,4.2
1970,2,4264.289,2733.2,4.8
1970,3,4302.259,2757.1,5.2
1970,4,4256.637,2749.6,5.8
1971,1,4374.016,2802.2,5.9
1971,2,4398.829,2827.9,5.9
1971,3,4433.943,2850.4,6
1971,4,4446.264,2897.8,6
1972,1,4525.769,2936.5,5.8
1972,2,4633.101,2992.6,5.7
1972,3,4677.503,3038.8,5.6
1972,4,4754.546,3110.1,5.3
1973,1,4876.166,3167,5
1973,2,4932.571,3165.4,4.9
1973,3,4906.252,3176.7,4.8
1973,4,4953.05,3167.4,4.8
1974,1,4909.617,3139.7,5.1
1974,2,4922.188,3150.6,5.2
1974,3,4873.52,3163.6,5.6
1974,4,4854.34,3117.3,6.6
1975,1,4795.295,3143.4,8.2
1975,2,4831.942,3195.8,8.9
1975,3,4913.328,3241.4,8.5
1975,4,4977.511,3275.7,8.3
1976,1,5090.663,3341.2,7.7
1976,2,5128.947,3371.8,7.6
1976,3,5154.072,3407.5,7.7
1976,4,5191.499,3451.8,7.8
1977,1,5251.762,3491.3,7.5
1977,2,5356.131,3510.6,7.1
1977,3,5451.921,3544.1,6.9
1977,4,5450.793,3597.5,6.6
1978,1,5469.405,3618.5,6.3
1978,2,5684.569,3695.9,6
1978,3,5740.3,3711.4,6
1978,4,5816.222,3741.3,5.9
1979,1,5825.949,3760.2,5.9
1979,2,5831.418,3758,5.7
1979,3,5873.335,3794.9,5.9
1979,4,5889.495,3805,5.9
